[ 00:58:43.980 -->  00:58:44.470] AR SPEAKER_02
[ 00:58:44.470 -->  00:58:44.588] KU SPEAKER_10
[ 01:00:04.373 -->  01:00:22.784] CM SPEAKER_04
[ 01:00:23.847 -->  01:00:38.207] CN SPEAKER_04
[ 01:00:39.287 -->  01:01:13.139] CO SPEAKER_04
[ 01:01:14.573 -->  01:02:10.244] FX SPEAKER_05
[ 01:02:12.269 -->  01:02:14.969] KO SPEAKER_09
[ 01:02:15.677 -->  01:02:16.234] FY SPEAKER_05
[ 01:02:16.960 -->  01:03:32.880] FZ SPEAKER_05
[ 01:03:33.572 -->  01:03:54.059] AS SPEAKER_02
[ 01:03:54.329 -->  01:04:11.710] GA SPEAKER_05
[ 01:04:10.849 -->  01:04:26.475] AT SPEAKER_02
[ 01:04:31.690 -->  01:04:33.462] KP SPEAKER_09
[ 01:04:35.284 -->  01:04:35.436] KQ SPEAKER_09
[ 01:04:35.436 -->  01:04:36.246] BC SPEAKER_03
[ 01:04:36.246 -->  01:05:00.951] KV SPEAKER_10
[ 01:04:36.297 -->  01:04:38.372] KR SPEAKER_09
[ 01:04:41.494 -->  01:04:42.608] MJ SPEAKER_12
[ 01:05:00.951 -->  01:05:02.520] MP SPEAKER_13
[ 01:05:08.916 -->  01:05:20.897] KW SPEAKER_10
[ 01:05:22.365 -->  01:06:25.883] KX SPEAKER_10
[ 01:06:26.507 -->  01:06:53.609] KY SPEAKER_10
[ 01:06:56.039 -->  01:07:28.995] GB SPEAKER_05
[ 01:07:29.940 -->  01:07:32.100] CP SPEAKER_04
[ 01:07:30.480 -->  01:07:30.919] GC SPEAKER_05
[ 01:07:33.349 -->  01:07:42.428] CQ SPEAKER_04
[ 01:07:45.111 -->  01:07:52.654] CR SPEAKER_04
[ 01:07:54.426 -->  01:08:07.133] CS SPEAKER_04
[ 01:08:08.888 -->  01:08:17.781] CT SPEAKER_04
[ 01:08:18.389 -->  01:08:51.531] CU SPEAKER_04
[ 01:08:41.490 -->  01:08:43.836] MK SPEAKER_12
[ 01:08:52.712 -->  01:09:06.904] CV SPEAKER_04
[ 01:09:01.707 -->  01:09:01.724] E SPEAKER_00
[ 01:09:07.782 -->  01:09:12.675] CW SPEAKER_04
[ 01:09:10.701 -->  01:09:26.040] KZ SPEAKER_10
[ 01:09:27.036 -->  01:09:32.993] LA SPEAKER_10
[ 01:09:37.836 -->  01:09:38.528] JR SPEAKER_08
[ 01:09:40.823 -->  01:09:47.742] JS SPEAKER_08
[ 01:09:47.505 -->  01:09:49.750] MQ SPEAKER_13
[ 01:09:50.982 -->  01:10:14.792] MR SPEAKER_13
[ 01:10:15.484 -->  01:10:33.135] MS SPEAKER_13
[ 01:10:33.777 -->  01:11:07.139] MT SPEAKER_13
[ 01:11:08.269 -->  01:11:18.023] CX SPEAKER_04
[ 01:11:18.900 -->  01:11:21.685] CY SPEAKER_04
[ 01:11:22.596 -->  01:11:25.347] CZ SPEAKER_04
[ 01:11:26.612 -->  01:11:44.095] DA SPEAKER_04
[ 01:11:44.888 -->  01:11:47.385] DB SPEAKER_04
[ 01:11:49.073 -->  01:12:31.395] DC SPEAKER_04
[ 01:12:32.273 -->  01:12:51.848] DD SPEAKER_04
[ 01:12:51.764 -->  01:12:56.944] MU SPEAKER_13
[ 01:12:56.944 -->  01:13:03.762] DE SPEAKER_04
[ 01:13:03.762 -->  01:13:16.350] MV SPEAKER_13
[ 01:13:18.510 -->  01:14:16.004] DF SPEAKER_04
[ 01:13:28.484 -->  01:13:28.872] ML SPEAKER_12
[ 01:13:35.217 -->  01:13:35.959] LC SPEAKER_11
[ 01:14:18.535 -->  01:15:08.789] H SPEAKER_01
[ 01:15:08.856 -->  01:15:22.154] DG SPEAKER_04
[ 01:15:23.132 -->  01:15:32.802] DH SPEAKER_04
[ 01:15:32.802 -->  01:15:35.147] GD SPEAKER_05
[ 01:15:37.425 -->  01:15:40.581] DI SPEAKER_04
[ 01:15:41.172 -->  01:16:01.304] DJ SPEAKER_04
[ 01:16:01.439 -->  01:16:10.382] I SPEAKER_01
[ 01:16:09.893 -->  01:16:17.976] DK SPEAKER_04
[ 01:16:11.024 -->  01:16:12.762] J SPEAKER_01
[ 01:16:15.580 -->  01:16:23.579] K SPEAKER_01
[ 01:16:21.604 -->  01:16:21.959] GE SPEAKER_05
[ 01:16:23.579 -->  01:17:26.995] GF SPEAKER_05
[ 01:17:26.995 -->  01:17:33.863] AU SPEAKER_02
[ 01:17:34.707 -->  01:18:35.001] AV SPEAKER_02
[ 01:18:34.596 -->  01:18:42.122] GG SPEAKER_05
[ 01:18:39.405 -->  01:18:43.185] AW SPEAKER_02
[ 01:18:45.008 -->  01:18:54.795] LD SPEAKER_11
[ 01:18:55.994 -->  01:18:57.495] LE SPEAKER_11
[ 01:18:57.495 -->  01:18:58.272] DL SPEAKER_04
[ 01:18:58.272 -->  01:18:59.487] LF SPEAKER_11
[ 01:18:58.980 -->  01:19:20.834] DM SPEAKER_04
[ 01:19:18.724 -->  01:19:33.996] GH SPEAKER_05
[ 01:19:34.739 -->  01:19:45.977] LG SPEAKER_11
[ 01:19:46.720 -->  01:20:52.127] LH SPEAKER_11
[ 01:20:53.595 -->  01:20:59.873] LI SPEAKER_11
[ 01:21:00.936 -->  01:21:05.037] LJ SPEAKER_11
[ 01:21:07.112 -->  01:21:42.634] GI SPEAKER_05
[ 01:21:15.617 -->  01:21:16.140] F SPEAKER_00
[ 01:21:42.499 -->  01:21:49.502] AX SPEAKER_02
[ 01:21:49.502 -->  01:21:52.945] LK SPEAKER_11
[ 01:21:52.945 -->  01:22:04.369] AY SPEAKER_02
[ 01:22:03.694 -->  01:22:07.997] LL SPEAKER_11
[ 01:22:07.930 -->  01:22:16.148] DN SPEAKER_04
[ 01:22:17.549 -->  01:22:40.870] DO SPEAKER_04
[ 01:22:40.870 -->  01:22:48.194] LM SPEAKER_11
[ 01:22:43.874 -->  01:22:45.527] DP SPEAKER_04
[ 01:22:46.523 -->  01:22:58.589] DQ SPEAKER_04
[ 01:22:56.209 -->  01:22:58.167] LN SPEAKER_11
[ 01:22:59.635 -->  01:23:12.949] DR SPEAKER_04
[ 01:23:12.375 -->  01:23:30.432] LO SPEAKER_11
[ 01:23:30.533 -->  01:23:40.489] DS SPEAKER_04
[ 01:23:40.422 -->  01:23:45.147] LP SPEAKER_11
[ 01:23:44.033 -->  01:23:44.792] JT SPEAKER_08
[ 01:23:44.067 -->  01:23:44.151] MM SPEAKER_12
[ 01:23:44.792 -->  01:23:44.961] MN SPEAKER_12
[ 01:23:45.771 -->  01:23:48.994] JU SPEAKER_08
[ 01:23:50.310 -->  01:23:50.597] BD SPEAKER_03
[ 01:23:52.015 -->  01:24:02.680] BE SPEAKER_03
[ 01:24:03.675 -->  01:25:39.762] GJ SPEAKER_05
[ 01:25:40.116 -->  01:25:57.649] BF SPEAKER_03
[ 01:25:57.599 -->  01:26:03.539] GK SPEAKER_05
[ 01:26:05.614 -->  01:26:06.255] JV SPEAKER_08
[ 01:26:06.255 -->  01:26:06.272] IN SPEAKER_07
[ 01:26:07.049 -->  01:26:10.896] IO SPEAKER_07
[ 01:26:12.145 -->  01:26:15.891] IP SPEAKER_07
[ 01:26:16.634 -->  01:26:18.490] IQ SPEAKER_07
[ 01:26:20.515 -->  01:26:24.143] IR SPEAKER_07
[ 01:26:25.257 -->  01:26:31.484] IS SPEAKER_07
[ 01:26:33.087 -->  01:26:36.445] IT SPEAKER_07
[ 01:26:37.508 -->  01:26:45.996] IU SPEAKER_07
[ 01:26:46.688 -->  01:26:49.844] IV SPEAKER_07
[ 01:26:50.704 -->  01:26:55.193] IW SPEAKER_07
[ 01:26:56.391 -->  01:26:57.488] IX SPEAKER_07
[ 01:26:58.298 -->  01:26:59.901] IY SPEAKER_07
[ 01:27:01.015 -->  01:27:04.761] IZ SPEAKER_07
[ 01:27:06.735 -->  01:27:08.744] JA SPEAKER_07
[ 01:27:09.874 -->  01:27:11.562] JB SPEAKER_07
[ 01:27:12.608 -->  01:27:16.776] JC SPEAKER_07
[ 01:27:17.856 -->  01:27:33.297] JD SPEAKER_07
[ 01:27:35.609 -->  01:27:39.051] JE SPEAKER_07
[ 01:27:40.215 -->  01:27:43.152] JF SPEAKER_07
